,ユーザーURL,プロフィール,総いいね数,フォロワー,github,twitter,ポートフォリオ,Article数,Scraps数
32,https://zenn.dev/hid3,"Webサービス, LINE Bot, LIFFアプリ(ミニアプリ)を個人開発しています。",11,1,https://github.com/hid3h,https://twitter.com/_hid3,none,4,0
33,https://zenn.dev/ytkhs,なし,11,1,https://github.com/ytkhs,https://twitter.com/zenn_dev,none,2,1
34,https://zenn.dev/ledsun,プログラマーです。,0,1,https://github.com/zenn-dev/zenn-roadmap/projects/1,https://twitter.com/zenn_dev,none,1,0
35,https://zenn.dev/nkysyuichi,iOS開発歴がそこそこ長くなってきました。Swiftが好きなのでSwiftの小ネタ中心にブログを執筆しています。,0,1,https://github.com/zenn-dev/zenn-roadmap/projects/1,https://twitter.com/nkysyuichi,https://dev.classmethod.jp/author/nakayasu-yuichi/,2,0
36,https://zenn.dev/nikaera,様々な技術領域に関心のある雑食系エンジニアです。自分の記事が誰かのお役に立てれば幸いです。 nikaera.com/tech/,97,11,https://github.com/nikaera,https://twitter.com/n1kaera,https://nikaera.com/tech/,8,1
37,https://zenn.dev/yoheimuta,twitter: @yoheimuta,9,1,https://github.com/zenn-dev/zenn-roadmap/projects/1,https://twitter.com/zenn_dev,none,2,0
38,https://zenn.dev/e99h2121,2003年新卒入社した「人事給与システムのリーディングカンパニー」でへたこきながら開発をしつつ qiita.com/e99h2121 と使い分けながら書いてます。2016aug生まれ娘、2018oct生まれ息子に精神を鍛えられている日々,21,1,https://github.com/e99h2121,https://twitter.com/e99h2121,http://e99h2121.github.io/,34,0
39,https://zenn.dev/shushuitie,"ものまねが上手くなりたいと思っているあなた。僕はものまねが好きだ！ ものまねをやっていると 知識を簡単に勉強できる。これからWeb系開発の知識を一緒に勉強して行きましょう。残りの人生の時間は短いし。 後悔しないようにPython,React,Vueを勉強しましょう",9,1,https://github.com/zenn-dev/zenn-roadmap/projects/1,https://twitter.com/zenn_dev,none,2,1
40,https://zenn.dev/yuki_m,なし,0,1,https://github.com/zenn-dev/zenn-roadmap/projects/1,https://twitter.com/zenn_dev,none,2,0
41,https://zenn.dev/remiria,ゲーム業界のどこかに生息するUSDを普及させたいツールパイプラインエンジニア,23,4,https://github.com/fereria,https://twitter.com/fereria,https://fereria.github.io/reincarnation_tech/,9,2
42,https://zenn.dev/kkeeth,"モチベーションが少し高まるアカウントを目指しています。凡人がどこまで社会に貢献できるか挑戦中/株式会社ゆめみ/技術広報/取締役/ジェラティブアート勉強中🎨/拙著 #riot本 Riot.jsで簡単Webアプリ開発 http://amzn.to/3hN2puK / ""$ npx @kkeeth/card""",15,1,https://github.com/kkeeth,https://twitter.com/kkeeth,https://stand.fm/channels/5e70dd5881d4e84e1ff1cab4,5,2
43,https://zenn.dev/ykyki,数学などをしています,23,0,https://github.com/ykyki,https://twitter.com/ykyki_twi,https://www.ykyki.com/,2,0
44,https://zenn.dev/suiudou,リアルインフラ設計がインフラエンジニアを目指して勉強中 2020年の４月からおばあ様達と苦手なPC教室に通い始めWordとExcelを学び、６月頃からAutoCadを使いこなしいまはインフラエンジニアになる為の勉強中です！ くーばねてす倒したらエンジニアになれるよ！って言われたのでやっつけるのが目標！最後はマブダチ,21,3,https://github.com/zenn-dev/zenn-roadmap/projects/1,https://twitter.com/zenn_dev,none,84,0
45,https://zenn.dev/nkysyuichi,iOS開発歴がそこそこ長くなってきました。Swiftが好きなのでSwiftの小ネタ中心にブログを執筆しています。,0,1,https://github.com/zenn-dev/zenn-roadmap/projects/1,https://twitter.com/nkysyuichi,https://dev.classmethod.jp/author/nakayasu-yuichi/,2,0
46,https://zenn.dev/okku,SESでエンジニアをしています。 主にAWS学習のアウトプットで投稿しています。,0,0,https://github.com/zenn-dev/zenn-roadmap/projects/1,https://twitter.com/zenn_dev,none,1,0
47,https://zenn.dev/chiiiba,なし,2,0,https://github.com/zenn-dev/zenn-roadmap/projects/1,https://twitter.com/zenn_dev,none,7,0
48,https://zenn.dev/take4s5i,なし,1,0,https://github.com/zenn-dev/zenn-roadmap/projects/1,https://twitter.com/zenn_dev,none,1,0
49,https://zenn.dev/phi,just a creator. one zenn(good) per day. #html #css #javascript #nodejs #firebase #firestore #gcp #riot #vue #swift #flutter #cpp #unity #opengl #rabee,292,32,https://github.com/phi-jp,https://twitter.com/phi_jp,https://rabee.jp/,32,1
50,https://zenn.dev/swata_dev,Novice Programmer (2020/11 ~) § Living my life with a chihuahua baby.,110,7,https://github.com/swata-dev,https://twitter.com/zenn_dev,none,38,2
51,https://zenn.dev/tmtms,MySQL / Ruby / Postfix / メール / 文字化け,38,4,https://github.com/tmtm,https://twitter.com/tmtms,none,10,0
52,https://zenn.dev/sasumasa,Web エンジニア。Flutter でサービス開発中。 Ruby / Ruby on Rails / Go / Beego / Python / Express / GraphQL / Terrraform / AWS / TypeScript / React / React Native / Flutter,14,0,https://github.com/masayoshi-toku,https://twitter.com/sasu_masa,https://blog.sasumasa.jp/category/tech/,9,0
53,https://zenn.dev/ymd_h,機械学習・クラウドに興味あり。強化学習用Replay Bufferライブラリ cpprb gitlab.com/ymd_h/cpprb を開発中,17,2,https://github.com/ymd-h,https://twitter.com/zenn_dev,https://ymd_h.gitlab.io/ymd_blog/,2,4
54,https://zenn.dev/2zn01,【作ったサービス】 誰でも簡単にAIを作れる「AIメーカー」 → aimaker.io 画像・動画の高画質化 → waifu2x.me 画像、音声、動画の文字起こし → text.aimaker.io/recognize-bot/,26,0,https://github.com/zenn-dev/zenn-roadmap/projects/1,https://twitter.com/2zn01,https://aimaker.io/,3,0
55,https://zenn.dev/moromizu,ソフトウェア開発の何でも屋さん。日々の中で得た面白いことを書きためてみようと思っています。,4,0,https://github.com/moromizu,https://twitter.com/moromizu,none,2,0
56,https://zenn.dev/okakyo,"TypeScipt, Python を使ったプログラミングに興味があります",12,0,https://github.com/zenn-dev/zenn-roadmap/projects/1,https://twitter.com/zenn_dev,none,3,0
57,https://zenn.dev/sinozu,なし,3,0,https://github.com/zenn-dev/zenn-roadmap/projects/1,https://twitter.com/zenn_dev,none,1,0
58,https://zenn.dev/_takwat,最近はほぼReactとLaravelおじさん,4,0,https://github.com/takwat,https://twitter.com/zenn_dev,none,2,0
59,https://zenn.dev/nananaoto,エンジニャー,11,1,https://github.com/zenn-dev/zenn-roadmap/projects/1,https://twitter.com/naoto_7713,none,3,0
60,https://zenn.dev/earth634,PythonとVimが好きです。,3,1,https://github.com/earth634,https://twitter.com/zenn_dev,none,1,0
61,https://zenn.dev/dubsarturtur,駆け出しエンジニア,0,0,https://github.com/zenn-dev/zenn-roadmap/projects/1,https://twitter.com/zenn_dev,none,1,0
62,https://zenn.dev/ryuu,個人開発を趣味でやってるエンジニアです。最近はNotionにどハマリし時間に追われ気味‥💦フロントエンド周りの開発が特に好きです！モダンな技術が好き / TypeScript極めたい,151,14,https://github.com/ryu-461,https://twitter.com/ry86163204,https://ryu-461-portfolio.netlify.app/#/,16,1
63,https://zenn.dev/hideyuki,Software Engineer.,0,0,https://github.com/zenn-dev/zenn-roadmap/projects/1,https://twitter.com/zenn_dev,none,1,0
64,https://zenn.dev/satoru_takeuchi,Rook(メンテナ)/Ceph/K8s/Linuxカーネル 書籍 amazon.co.jp/dp/477419607X windhole.booth.pm/ techbookfest.org/organization/5710758973276160,439,69,https://github.com/satoru-takeuchi,https://twitter.com/satoru_takeuchi,https://satoru-takeuchi.org/,27,0
65,https://zenn.dev/barusu,趣味で馬をやっている者だ,72,12,https://github.com/zenn-dev/zenn-roadmap/projects/1,https://twitter.com/zenn_dev,none,34,2
66,https://zenn.dev/ryo_kawamata,Frontend engineer / Misoca / TypeScript / Vue.js / Firebase / GraphQL / 元消防士🚒 / 趣味は懸垂 / 父,851,98,https://github.com/kawamataryo,https://twitter.com/kawamataryo,https://qiita.com/ryo2132,31,1
67,https://zenn.dev/matsu7089,いろいろ勉強中。JavaScriptとドット絵が好き。,124,5,https://github.com/matsu7089,https://twitter.com/matsu7089,none,3,1
68,https://zenn.dev/sotaro_abe,"ue4,blender,VirtualProduction",2,0,https://zenn.dev/topics/github,https://twitter.com/zenn_dev,none,10,0
69,https://zenn.dev/grinch1252,RubyとNuxtが好きな初学者です。,4,0,https://github.com/grinch1252,https://twitter.com/zenn_dev,https://zaum.netlify.app/,1,0
70,https://zenn.dev/komisan19,フロントエンドやりつつ、Goを書きたい人,11,0,https://github.com/komisan19,https://twitter.com/komisan19,none,2,0
71,https://zenn.dev/diwamoto,"backend:PHP/Java/golang frontend:typescript/javascript fw:CakePHP,baserCMS,gin,vue.js baserCMS commiter 転職目指して日々勉強したことを発進します。",19,3,https://github.com/diwamoto,https://twitter.com/diwamoto_,none,6,2
72,https://zenn.dev/maktub_bros,明日のとんかつのために今日も頑張ります。,60,5,https://github.com/zenn-dev/zenn-roadmap/projects/1,https://twitter.com/zenn_dev,none,3,0
73,https://zenn.dev/moroya,"⚡Full-Stack Software Engineer 🔨CEO/CTO ✨Node.js, GCP, AWS 💘UI/UX Design",139,11,https://github.com/moroya,https://twitter.com/moroya,https://moroya.net/,2,0
74,https://zenn.dev/matobaa,a.k.a. matobaa,8,0,https://github.com/zenn-dev/zenn-roadmap/projects/1,https://twitter.com/zenn_dev,none,3,2
75,https://zenn.dev/luvmini511,20新卒 | FEひよこ | 東京勤務 | 韓国人,253,12,https://github.com/luvmini511,https://twitter.com/zenn_dev,none,9,0
76,https://zenn.dev/sobya,最近はずっとAndroidエンジニア SIer×2→カカクコム→おいしい健康 酒、車(特にメカ)、ぷよぷよが好き 3児の父やってます。,24,3,https://github.com/sobaya-0141,https://twitter.com/sobaya15,none,16,1
77,https://zenn.dev/zakkie,日本の片田舎から,1,0,https://github.com/zenn-dev/zenn-roadmap/projects/1,https://twitter.com/zenn_dev,none,1,3
78,https://zenn.dev/zilch,保育×テクノロジーに興味あり。家にいる時間が増えた今は家庭内をスマート化することに取り組んでいます。,2,1,https://github.com/zenn-dev/zenn-roadmap/projects/1,https://twitter.com/zenn_dev,none,2,0
79,https://zenn.dev/bon,🖥 iOS Engineer 📊 広告運用/マーケティング,7,0,https://github.com/zenn-dev/zenn-roadmap/projects/1,https://twitter.com/bosteri_bon,none,2,3
80,https://zenn.dev/senk,暗号、関数型言語のオタクのM1。暗号と百合を布教してる,95,13,https://senk8.github.io/#,https://twitter.com/enkanakoi,https://senk8.github.io/#,6,1
81,https://zenn.dev/pirosuke,SIerで働くWebプログラマです。VueとRustが最近のお気に入り。,12,2,https://github.com/pirosuke,https://twitter.com/pirosuke,https://blog.honjala.net/,1,0
82,https://zenn.dev/yorifuji,機械学習/iOS/Swift/Firebase/WebRTCの話題が多いです。参考になった記事があればLikeしてもらえると嬉しいです🙏,154,12,https://github.com/yorifuji,https://twitter.com/yorifuji,https://note.com/yorifuji,17,12
83,https://zenn.dev/sotaro_abe,"ue4,blender,VirtualProduction",2,0,https://zenn.dev/topics/github,https://twitter.com/zenn_dev,none,10,0
84,https://zenn.dev/tkomatsu,なし,3,0,https://github.com/tkomatsu,https://twitter.com/komats_,none,1,0
85,https://zenn.dev/issei126,Rails/Vue.js,43,5,https://github.com/issei126,https://twitter.com/ise_tang,none,3,0
86,https://zenn.dev/hama4080,rubyとかvueをよく触ってます,3,0,https://zenn.dev/topics/github,https://twitter.com/zenn_dev,none,1,0
87,https://zenn.dev/nishinoshake,AWSの料金をざっくり計算できるサイトや、邦画の予告を朝まで観られるサイトを作ってます。,7,2,https://github.com/nishinoshake,https://twitter.com/nishinoshake,https://noplan.cc/,1,0
88,https://zenn.dev/karosu,go言語やコンテナをいじっています。 raspberrypi上のkuberentesネットワーク構築とか興味あるかも,4,0,https://github.com/zenn-dev/zenn-roadmap/projects/1,https://twitter.com/karosuwindam,none,1,0
89,https://zenn.dev/riku_shiru,普段はキーボードをぽちぽちしています。バックエンドエンジニア👨‍💻,1,0,https://github.com/zenn-dev/zenn-roadmap/projects/1,https://twitter.com/zenn_dev,none,1,0
90,https://zenn.dev/nekoniki,静岡で細々とSEやってるフロントエンジニア(28)です。 C#/Javascript/Typescript/GoogleAppScript/React/ReactNative/Python,351,21,https://github.com/shutoyamada,https://twitter.com/pyoncoin,https://nekoniki.com/,46,1
